epoch,batch,train_loss,val_loss,val_mae,val_rel_err,val_rel_err_median,val_r2,val_acc_1pct,val_acc_5pct,time_sec
1,1,6326.731934,,,,
1,10,6269.378906,,,,
1,20,6198.467285,,,,
1,30,6109.763672,,,,
1,ALL,6040.169385,0.954020,59142.750000,0.423580,0.277327,-0.020903,2.00,10.00,120.70
2,1,6072.520508,,,,
2,10,5976.679199,,,,
2,20,5781.596191,,,,
2,30,5569.949707,,,,
2,ALL,5667.221177,0.934216,61541.531250,0.471543,0.314807,0.000289,2.00,8.00,71.77
3,1,5441.871094,,,,
3,10,5107.172852,,,,
3,20,4647.303711,,,,
3,30,4150.085449,,,,
3,ALL,4689.902502,0.935784,60959.683594,0.460975,0.315756,-0.001389,0.00,7.00,80.68
4,1,3881.357422,,,,
4,10,3303.549316,,,,
4,20,2633.770508,,,,
4,30,1802.013672,,,,
4,ALL,2734.066950,0.946096,59399.078125,0.431847,0.287729,-0.012424,2.00,7.00,81.79
5,1,1517.895996,,,,
5,10,931.776917,,,,
5,20,519.323792,,,,
5,30,275.767548,,,,
5,ALL,722.048320,0.946813,66344.117188,0.546916,0.386636,-0.013192,0.00,8.00,68.67
6,1,184.316925,,,,
6,10,54.473343,,,,
6,20,14.466616,,,,
6,30,3.958824,,,,
6,ALL,45.686004,0.965784,69047.187500,0.583782,0.405695,-0.033493,2.00,7.00,70.51
7,1,1.519473,,,,
7,10,0.851016,,,,
7,20,1.162912,,,,
7,30,0.746149,,,,
7,ALL,1.148600,0.936033,63835.761719,0.509540,0.365895,-0.001656,1.00,7.00,67.01
8,1,1.180436,,,,
8,10,0.452432,,,,
8,20,1.126508,,,,
8,30,0.716703,,,,
8,ALL,1.029037,0.930551,62824.316406,0.494707,0.346275,0.004211,1.00,7.00,66.83
9,1,0.853096,,,,
9,10,1.733352,,,,
9,20,2.225902,,,,
9,30,0.956124,,,,
9,ALL,1.036688,0.942843,57927.761719,0.405299,0.264069,-0.008943,1.00,10.00,72.45
10,1,0.399693,,,,
10,10,0.663873,,,,
10,20,0.897847,,,,
10,30,0.895219,,,,
10,ALL,0.979429,0.919081,56620.648438,0.390656,0.258895,0.016485,0.00,11.00,33.20
