epoch,batch,train_loss,val_loss,val_mae,val_rel_err,val_rel_err_median,val_r2,val_acc_1pct,val_acc_5pct,time_sec
1,1,7.178817,,,,
1,10,7.633611,,,,
1,20,5.740881,,,,
1,30,7.033940,,,,
1,ALL,6.910633,3.624751,155256.437500,1.000000,1.000000,-2.878871,0.00,0.00,100.07
2,1,9.603953,,,,
2,10,6.035630,,,,
2,20,5.733864,,,,
2,30,6.279816,,,,
2,ALL,6.683821,3.624751,155256.437500,1.000000,1.000000,-2.878871,0.00,0.00,66.23
3,1,7.145797,,,,
3,10,5.965515,,,,
3,20,6.243920,,,,
3,30,6.665111,,,,
3,ALL,6.070203,3.624751,155256.437500,1.000000,1.000000,-2.878871,0.00,0.00,65.68
4,1,4.259184,,,,
4,10,3.564939,,,,
4,20,4.836269,,,,
4,30,3.999339,,,,
4,ALL,4.716292,3.624751,155256.437500,1.000000,1.000000,-2.878871,0.00,0.00,68.38
5,1,2.588294,,,,
5,10,3.078943,,,,
5,20,2.923782,,,,
5,30,2.697916,,,,
5,ALL,3.634536,3.616176,154821.656250,0.996051,1.000000,-2.869696,0.00,0.00,65.00
6,1,2.632037,,,,
6,10,0.889077,,,,
6,20,0.689435,,,,
6,30,1.843642,,,,
6,ALL,2.166837,2.004739,116094.851562,1.049565,0.803516,-1.145285,1.00,4.00,67.96
7,1,2.539947,,,,
7,10,2.462114,,,,
7,20,1.170218,,,,
7,30,0.519023,,,,
7,ALL,1.461161,1.488844,95122.773438,0.841091,0.591545,-0.593223,1.00,3.00,72.74
8,1,1.404247,,,,
8,10,0.858826,,,,
8,20,0.858898,,,,
8,30,1.244338,,,,
8,ALL,1.109877,2.002459,93253.398438,0.534618,0.515921,-1.142845,0.00,6.00,72.60
9,1,1.369445,,,,
9,10,3.194672,,,,
9,20,1.218786,,,,
9,30,3.859838,,,,
9,ALL,2.204970,1.661995,80831.312500,0.470927,0.401966,-0.778513,1.00,4.00,72.81
10,1,3.425309,,,,
10,10,0.719449,,,,
10,20,1.937355,,,,
10,30,0.659748,,,,
10,ALL,1.563851,1.141656,63866.921875,0.410712,0.309350,-0.221694,1.00,11.00,72.69
