epoch,batch,train_loss,val_loss,val_mae,val_rel_err,val_rel_err_median,val_r2,val_acc_1pct,val_acc_5pct,time_sec
1,1,6328.142090,,,,
1,ALL,4763.711124,0.716833,52669.035156,0.401509,0.257888,-0.023481,0.00,20.00,6.06
2,1,6306.483887,,,,
2,ALL,4747.205379,1.006352,66641.031250,0.393525,0.335741,-0.436851,0.00,0.00,9.79
3,1,6284.944824,,,,
3,ALL,4731.977646,1.186219,74373.921875,0.417488,0.420166,-0.693663,0.00,6.67,7.43
4,1,6262.578125,,,,
4,ALL,4715.363665,0.960967,64783.691406,0.390825,0.311831,-0.372051,0.00,0.00,12.90
5,1,6242.781250,,,,
5,ALL,4698.877445,0.777422,55105.855469,0.380025,0.329147,-0.109989,6.67,13.33,10.79
6,1,6218.567383,,,,
6,ALL,4681.302637,0.735160,53386.855469,0.391778,0.285558,-0.049648,0.00,6.67,14.56
7,1,6194.556641,,,,
7,ALL,4662.751339,0.762199,54564.574219,0.383965,0.315224,-0.088254,0.00,13.33,18.23
8,1,6168.279785,,,,
8,ALL,4642.969257,0.838172,58684.250000,0.382031,0.269929,-0.196727,0.00,6.67,30.13
9,1,6139.437988,,,,
9,ALL,4621.481617,0.877052,60839.574219,0.385133,0.258290,-0.252239,0.00,0.00,13.12
10,1,6109.080078,,,,
10,ALL,4597.414305,0.827622,58051.941406,0.380986,0.284097,-0.181663,0.00,6.67,10.11
