epoch,batch,train_loss,val_loss,val_mae,val_rel_err,val_rel_err_median,val_r2,val_acc_1pct,val_acc_5pct,time_sec
1,1,26672818176.000000,,,,
1,ALL,29300766208.000000,31145891840.000000,158032.046875,1.000000,1.000000,-4.046518,0.00,0.00,21.39
2,1,47715143680.000000,,,,
2,ALL,28327650048.000000,31145891840.000000,158032.046875,1.000000,1.000000,-4.046518,0.00,0.00,21.05
3,1,30874107904.000000,,,,
3,ALL,50161523200.000000,31145891840.000000,158032.046875,1.000000,1.000000,-4.046518,0.00,0.00,21.00
4,1,19439538176.000000,,,,
4,ALL,30884496384.000000,31145891840.000000,158032.046875,1.000000,1.000000,-4.046518,0.00,0.00,21.01
5,1,23681351680.000000,,,,
5,ALL,32041489920.000000,31145891840.000000,158032.046875,1.000000,1.000000,-4.046518,0.00,0.00,20.97
6,1,39512551424.000000,,,,
6,ALL,29505466880.000000,31145891840.000000,158032.046875,1.000000,1.000000,-4.046518,0.00,0.00,20.64
7,1,48809431040.000000,,,,
7,ALL,33299056128.000000,31145891840.000000,158032.046875,1.000000,1.000000,-4.046518,0.00,0.00,20.78
8,1,34302607360.000000,,,,
8,ALL,29942988800.000000,31145891840.000000,158032.046875,1.000000,1.000000,-4.046518,0.00,0.00,21.91
9,1,41752739840.000000,,,,
9,ALL,27976599296.000000,31145891840.000000,158032.046875,1.000000,1.000000,-4.046518,0.00,0.00,20.83
10,1,26406606848.000000,,,,
10,ALL,30707102208.000000,31145891840.000000,158032.046875,1.000000,1.000000,-4.046518,0.00,0.00,21.02
