epoch,batch,train_loss,val_loss,val_mae,val_rel_err,val_rel_err_median,val_r2,val_acc_1pct,val_acc_5pct,time_sec
1,1,20519297024.000000,,,,
1,10,7607097856.000000,,,,
1,20,15444030464.000000,,,,
1,30,3439581696.000000,,,,
1,ALL,9384137784.000000,8368315904.000000,61704.816406,0.474395,0.318879,0.000550,2.00,5.00,151.67
2,1,5881767936.000000,,,,
2,10,7629016576.000000,,,,
2,20,3249123840.000000,,,,
2,30,4158181120.000000,,,,
2,ALL,8878724160.000000,8400050688.000000,59900.949219,0.443393,0.298533,-0.003240,2.00,9.00,208.44
3,1,5321697280.000000,,,,
3,10,20374906880.000000,,,,
3,20,6684225536.000000,,,,
3,30,12707361792.000000,,,,
3,ALL,8740149224.000000,7960407040.000000,60140.269531,0.467347,0.315738,0.049268,3.00,8.00,81.37
4,1,4903045632.000000,,,,
4,10,5960049664.000000,,,,
4,20,2533063680.000000,,,,
4,30,4751057408.000000,,,,
4,ALL,7359919840.000000,4091241472.000000,39645.175781,0.282947,0.206763,0.511372,4.00,17.00,77.61
5,1,2012024576.000000,,,,
5,10,6615518208.000000,,,,
5,20,3491443200.000000,,,,
5,30,9145032704.000000,,,,
5,ALL,4207288588.000000,2578612992.000000,36674.699219,0.268923,0.189052,0.692029,2.00,15.00,88.39
6,1,2918498560.000000,,,,
6,10,3853358592.000000,,,,
6,20,3924834816.000000,,,,
6,30,3294465024.000000,,,,
6,ALL,3471803056.000000,2079896704.000000,32881.296875,0.231653,0.168877,0.751592,3.00,10.00,90.44
7,1,4444820992.000000,,,,
7,10,1414867200.000000,,,,
7,20,2003371648.000000,,,,
7,30,3295357440.000000,,,,
7,ALL,2352791220.000000,1971932800.000000,32167.154297,0.231672,0.160343,0.764487,4.00,13.00,81.49
8,1,2426939392.000000,,,,
8,10,2438158592.000000,,,,
8,20,1368864512.000000,,,,
8,30,1185436416.000000,,,,
8,ALL,2249873718.000000,1627967488.000000,29770.070312,0.220901,0.164033,0.805568,2.00,13.00,78.24
9,1,1610960128.000000,,,,
9,10,1033385984.000000,,,,
9,20,818787456.000000,,,,
9,30,3686879488.000000,,,,
9,ALL,1722403370.000000,1608961280.000000,28619.257812,0.218156,0.136146,0.807838,3.00,17.00,47.42
10,1,1625372288.000000,,,,
10,10,2497658880.000000,,,,
10,20,1435423744.000000,,,,
10,30,1579624192.000000,,,,
10,ALL,1822188497.000000,1737863936.000000,29139.812500,0.219905,0.153189,0.792442,3.00,20.00,2.38
