epoch,batch,train_loss,val_loss,val_mae,val_rel_err,val_rel_err_median,val_r2,val_acc_1pct,val_acc_5pct,time_sec
1,1,50502.101562,,,,
1,ALL,35234.005859,14356.099609,11246910.000000,89.463020,74.528992,-20496.380859,0.00,0.00,6.37
2,1,14353.966797,,,,
2,ALL,7456.613159,403.474823,1882470.000000,15.264538,12.415238,-575.074097,0.00,0.00,8.52
3,1,415.946106,,,,
3,ALL,109.156068,3.534516,158032.046875,1.000000,1.000000,-4.046518,0.00,0.00,7.81
4,1,7.860386,,,,
4,ALL,8.039413,3.534516,158032.046875,1.000000,1.000000,-4.046518,0.00,0.00,9.08
5,1,5.618939,,,,
5,ALL,8.078263,3.534516,158032.046875,1.000000,1.000000,-4.046518,0.00,0.00,8.91
6,1,7.561654,,,,
6,ALL,7.435380,3.534516,158032.046875,1.000000,1.000000,-4.046518,0.00,0.00,8.44
7,1,6.843239,,,,
7,ALL,7.048758,3.534516,158032.046875,1.000000,1.000000,-4.046518,0.00,0.00,10.36
8,1,7.810688,,,,
8,ALL,6.447439,3.534516,158032.046875,1.000000,1.000000,-4.046518,0.00,0.00,11.16
9,1,6.057999,,,,
9,ALL,6.652714,3.534516,158032.046875,1.000000,1.000000,-4.046518,0.00,0.00,13.45
10,1,5.499158,,,,
10,ALL,7.282685,3.534516,158032.046875,1.000000,1.000000,-4.046518,0.00,0.00,20.58
