epoch,batch,train_loss,val_loss,val_mae,val_rel_err,val_rel_err_median,val_r2,val_acc_1pct,val_acc_5pct,time_sec
1,1,4.342806,,,,
1,10,4.430947,,,,
1,20,3.864194,,,,
1,30,3.830658,,,,
1,40,4.657798,,,,
1,50,3.650212,,,,
1,60,3.875286,,,,
1,70,3.717830,,,,
1,80,4.283481,,,,
1,90,4.041302,,,,
1,100,3.659601,,,,
1,110,3.976303,,,,
1,120,3.647900,,,,
1,130,3.430439,,,,
1,140,3.496881,,,,
1,150,3.317251,,,,
1,160,3.887064,,,,
1,170,3.352544,,,,
1,180,3.386872,,,,
1,190,3.264660,,,,
1,200,3.264882,,,,
1,210,3.259236,,,,
1,220,3.159071,,,,
1,230,3.692760,,,,
1,240,3.225163,,,,
1,250,2.951831,,,,
1,260,3.025729,,,,
1,270,2.943492,,,,
1,280,3.167896,,,,
1,290,2.989862,,,,
1,300,2.916842,,,,
1,310,2.899226,,,,
1,ALL,3.577980,0.572458,49781.191406,0.303522,0.279752,0.265741,1.00,9.00,5200.89
2,1,2.694642,,,,
2,10,2.982492,,,,
2,20,2.637106,,,,
2,30,2.719373,,,,
2,40,2.694007,,,,
2,50,2.740483,,,,
2,60,2.428815,,,,
2,70,2.412105,,,,
2,80,2.256005,,,,
2,90,2.330586,,,,
2,100,2.129673,,,,
2,110,1.947787,,,,
2,120,1.971412,,,,
2,130,1.696199,,,,
2,140,1.677156,,,,
2,150,1.619014,,,,
2,160,1.612825,,,,
2,170,1.238068,,,,
2,180,1.406589,,,,
2,190,0.993616,,,,
2,200,0.963611,,,,
2,210,0.873070,,,,
2,220,0.910918,,,,
2,230,0.898626,,,,
2,240,0.752349,,,,
2,250,0.704026,,,,
2,260,0.674885,,,,
2,270,0.718210,,,,
2,280,0.526905,,,,
2,290,0.835696,,,,
2,300,0.404305,,,,
2,310,0.973361,,,,
2,ALL,1.656827,0.345032,36152.070312,0.275752,0.178083,0.557448,4.00,23.00,5508.84
3,1,0.569962,,,,
3,10,0.577527,,,,
