epoch,batch,train_loss,val_loss,val_mae,val_rel_err,val_rel_err_median,val_r2,val_acc_1pct,val_acc_5pct,time_sec
1,1,4.133836,,,,
1,10,3.921576,,,,
1,20,4.859014,,,,
1,30,3.957422,,,,
1,40,3.820405,,,,
1,50,4.131069,,,,
1,60,3.840620,,,,
1,70,3.607020,,,,
1,80,3.771883,,,,
1,90,4.249514,,,,
1,100,3.465665,,,,
1,110,3.769050,,,,
1,120,3.380003,,,,
1,130,3.907887,,,,
1,140,3.523649,,,,
1,150,3.485956,,,,
1,ALL,4.097821,0.152723,28754.574219,0.254513,0.156991,0.507942,1.00,16.00,460.83
2,1,4.454238,,,,
2,10,3.402501,,,,
2,20,3.368807,,,,
2,30,3.385333,,,,
2,40,3.477328,,,,
2,50,3.517906,,,,
2,60,3.104165,,,,
2,70,3.113407,,,,
2,80,3.285274,,,,
2,90,3.243176,,,,
2,100,3.011812,,,,
2,110,2.948525,,,,
2,120,3.423358,,,,
2,130,2.892029,,,,
2,140,2.801968,,,,
2,150,3.082209,,,,
2,ALL,3.308087,0.276227,40344.203125,0.291400,0.266708,0.110026,1.00,7.00,462.49
3,1,2.741518,,,,
3,10,2.738031,,,,
3,20,2.550966,,,,
3,30,2.410408,,,,
3,40,2.745591,,,,
3,50,2.995790,,,,
3,60,2.081284,,,,
3,70,2.261678,,,,
3,80,2.049654,,,,
3,90,2.146288,,,,
3,100,1.631281,,,,
3,110,1.423772,,,,
3,120,1.261074,,,,
3,130,1.166745,,,,
3,140,1.125101,,,,
3,150,0.960842,,,,
3,ALL,1.969930,0.245809,38233.332031,0.279782,0.232605,0.208031,0.00,10.00,493.18
4,1,1.358602,,,,
4,10,0.630700,,,,
4,20,0.587525,,,,
4,30,0.559460,,,,
4,40,0.761869,,,,
4,50,0.499715,,,,
4,60,0.406417,,,,
4,70,0.646519,,,,
4,80,0.860564,,,,
4,90,0.281814,,,,
4,100,0.543439,,,,
4,110,1.423546,,,,
4,120,0.277994,,,,
4,130,0.357687,,,,
4,140,0.354027,,,,
4,150,0.258164,,,,
4,ALL,0.558993,0.190379,34147.585938,0.252029,0.220352,0.386621,2.00,8.00,526.90
5,1,0.670666,,,,
5,10,0.269196,,,,
5,20,0.236957,,,,
5,30,0.257996,,,,
5,40,0.216964,,,,
5,50,0.263752,,,,
5,60,0.194550,,,,
5,70,0.235297,,,,
5,80,0.535548,,,,
5,90,0.450563,,,,
5,100,0.403737,,,,
5,110,0.167604,,,,
5,120,0.220344,,,,
5,130,0.290853,,,,
5,140,0.217988,,,,
5,150,0.265931,,,,
5,ALL,0.346155,0.213727,35045.039062,0.241882,0.245706,0.311396,3.00,9.00,525.18
6,1,0.448798,,,,
6,10,0.197142,,,,
6,20,0.209856,,,,
6,30,0.286089,,,,
6,40,0.225505,,,,
6,50,0.412438,,,,
6,60,0.396247,,,,
6,70,0.156658,,,,
6,80,0.722847,,,,
6,90,0.527741,,,,
6,100,0.370946,,,,
6,110,0.217603,,,,
6,120,0.332140,,,,
6,130,0.130616,,,,
6,140,0.160673,,,,
6,150,0.571952,,,,
6,ALL,0.311117,0.390710,48567.660156,0.444648,0.299752,-0.258825,2.00,8.00,525.47
7,1,0.926876,,,,
7,10,0.192423,,,,
7,20,0.214510,,,,
7,30,0.151765,,,,
7,40,0.343313,,,,
7,50,0.502497,,,,
7,60,0.196128,,,,
7,70,0.163953,,,,
7,80,0.555504,,,,
7,90,0.288180,,,,
7,100,0.197463,,,,
7,110,0.207150,,,,
7,120,0.171513,,,,
7,130,1.456234,,,,
7,140,0.409951,,,,
7,150,0.178473,,,,
7,ALL,0.282563,0.439530,52835.828125,0.448739,0.364552,-0.416117,3.00,8.00,516.13
8,1,0.178858,,,,
8,10,0.576163,,,,
8,20,0.220315,,,,
8,30,0.160445,,,,
8,40,0.369156,,,,
8,50,0.144249,,,,
8,60,0.228412,,,,
8,70,0.221401,,,,
8,80,0.170213,,,,
8,90,0.221999,,,,
8,100,0.144327,,,,
8,110,0.150522,,,,
8,120,0.534502,,,,
8,130,0.162810,,,,
8,140,0.137322,,,,
8,150,0.359047,,,,
8,ALL,0.248920,0.423842,52168.441406,0.353978,0.376099,-0.365571,1.00,7.00,513.70
9,1,0.228410,,,,
9,10,0.265627,,,,
9,20,0.496514,,,,
9,30,0.185824,,,,
9,40,0.148842,,,,
9,50,0.160352,,,,
9,60,0.675182,,,,
9,70,0.396189,,,,
9,80,0.123439,,,,
9,90,0.183157,,,,
9,100,0.125384,,,,
9,110,0.400728,,,,
9,120,0.173728,,,,
9,130,0.155146,,,,
9,140,0.380076,,,,
9,150,0.277791,,,,
9,ALL,0.235706,0.312296,41661.394531,0.279033,0.280167,-0.006183,1.00,8.00,540.60
10,1,0.288411,,,,
10,10,0.343224,,,,
10,20,0.188378,,,,
10,30,0.118982,,,,
10,40,0.163154,,,,
10,50,0.189271,,,,
10,60,0.141953,,,,
10,70,0.139126,,,,
10,80,0.156290,,,,
10,90,0.079487,,,,
10,100,0.158544,,,,
10,110,0.125246,,,,
10,120,0.328217,,,,
10,130,0.202546,,,,
10,140,0.227088,,,,
10,150,0.210189,,,,
10,ALL,0.214079,0.140501,26821.099609,0.203733,0.143654,0.547321,5.00,17.00,558.76
