epoch,batch,train_loss,val_loss,val_mae,val_rel_err,val_rel_err_median,val_r2,val_acc_1pct,val_acc_5pct,time_sec
1,1,1.139738,,,,
1,10,1.238853,,,,
1,20,0.694441,,,,
1,30,0.667431,,,,
1,40,1.458222,,,,
1,50,0.517516,,,,
1,60,0.800039,,,,
1,70,0.633228,,,,
1,80,1.230481,,,,
1,90,0.988130,,,,
1,100,0.641870,,,,
1,110,0.939600,,,,
1,120,0.678630,,,,
1,130,0.456702,,,,
1,140,0.571064,,,,
1,150,0.395429,,,,
1,160,1.003086,,,,
1,170,0.497242,,,,
1,180,0.514466,,,,
1,190,0.422423,,,,
1,200,0.505477,,,,
1,210,0.400022,,,,
1,220,0.441471,,,,
1,230,1.011146,,,,
1,240,0.581558,,,,
1,250,0.332823,,,,
1,260,0.317709,,,,
1,270,0.352768,,,,
1,280,0.592593,,,,
1,290,0.485650,,,,
1,300,0.384637,,,,
1,310,0.475964,,,,
1,ALL,0.702427,0.334175,33850.765625,0.205177,0.151925,0.571374,8.00,18.00,5203.30
2,1,0.331225,,,,
2,10,0.565404,,,,
2,20,0.310375,,,,
2,30,0.472115,,,,
2,40,0.422856,,,,
2,50,0.578533,,,,
2,60,0.378701,,,,
2,70,0.465188,,,,
2,80,0.416840,,,,
2,90,0.515768,,,,
2,100,0.394433,,,,
2,110,0.242940,,,,
2,120,0.362491,,,,
2,130,0.358488,,,,
2,140,0.365820,,,,
2,150,0.296399,,,,
2,160,0.448056,,,,
2,170,0.288834,,,,
2,180,0.370509,,,,
2,190,0.237296,,,,
2,200,0.310537,,,,
2,210,0.347685,,,,
2,220,0.266751,,,,
2,230,0.351235,,,,
2,240,0.270810,,,,
2,250,0.316851,,,,
2,260,0.320088,,,,
2,270,0.446274,,,,
2,280,0.240203,,,,
2,290,0.372393,,,,
2,300,0.269665,,,,
2,310,0.528102,,,,
2,ALL,0.404425,0.223966,31369.943359,0.202801,0.183915,0.712732,3.00,19.00,5208.53
3,1,0.271847,,,,
3,10,0.473462,,,,
3,20,0.550607,,,,
3,30,0.213524,,,,
3,40,0.424040,,,,
3,50,0.354813,,,,
3,60,0.381674,,,,
3,70,0.227455,,,,
3,80,0.255225,,,,
3,90,0.369904,,,,
3,100,0.289848,,,,
3,110,0.261528,,,,
3,120,0.347097,,,,
3,130,0.294354,,,,
3,140,0.247483,,,,
3,150,0.304849,,,,
3,160,0.300188,,,,
3,170,0.317860,,,,
3,180,0.225584,,,,
3,190,0.314252,,,,
3,200,0.214667,,,,
3,210,0.241573,,,,
3,220,0.213859,,,,
3,230,0.219197,,,,
3,240,0.258594,,,,
3,250,0.231935,,,,
3,260,0.216935,,,,
3,270,0.206082,,,,
3,280,0.185163,,,,
3,290,0.244209,,,,
3,300,0.223221,,,,
3,310,0.143674,,,,
3,ALL,0.306131,0.208720,32910.562500,0.223184,0.219549,0.732286,4.00,12.00,5223.49
4,1,0.292461,,,,
4,10,0.157813,,,,
4,20,0.266951,,,,
4,30,0.136191,,,,
4,40,0.407689,,,,
4,50,0.404525,,,,
4,60,0.172154,,,,
4,70,0.392328,,,,
4,80,0.206957,,,,
4,90,0.164982,,,,
4,100,0.156229,,,,
4,110,0.190893,,,,
4,120,0.118871,,,,
4,130,0.231097,,,,
4,140,0.184041,,,,
4,150,0.158644,,,,
4,160,0.270619,,,,
4,170,0.104649,,,,
4,180,0.194861,,,,
4,190,0.181462,,,,
4,200,0.163437,,,,
4,210,0.274590,,,,
4,220,0.137503,,,,
4,230,0.289717,,,,
4,240,0.169714,,,,
4,250,0.127494,,,,
4,260,0.279865,,,,
4,270,0.131295,,,,
4,280,0.278642,,,,
